instance,solver,run,nvertices,nedges,n,m,state,terminationReason,value,totalTime,totalIters,bestTime,bestIter
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v1,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,13,126.282,100000,78.7112,62370
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v1,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,53.1933,100000,1.68563,3172
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v1,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,90.6819,100000,0.0311964,33
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v1,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,3,34.3898,100000,14.7301,42845
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v1,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,46.1395,100000,3.30964,7156
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v1,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,34.5755,100000,0.00254111,6
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v1,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,87.6493,100000,0.206459,234
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v1,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,9,71.0831,100000,0.0123158,16
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v1,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,34.0485,100000,0.685655,2011
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v1,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,55.1295,100000,0.0079979,13
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v1,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,9,69.2867,100000,0.02273,31
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v1,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,52.8197,100000,6.48313,12294
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v1,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,73.85,100000,3.39732,4599
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v1,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,35.4994,100000,0.088537,245
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v1,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,74.6195,100000,0.421139,564
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v1,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,58.8342,100000,0.0347481,57
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v1,0,150,5567,45,30,UNKNOWN,unknown,-1,3.05808,100000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v1,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,9,71.4417,100000,0.0504001,69
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v1,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,33.2464,100000,2.30241,6934
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v1,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,6,56.7445,100000,0.00172624,2
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v1,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,102.492,100000,8.9091,8695
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v1,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,6,58.7671,100000,0.156743,265
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v1,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,3,34.0441,100000,0.00827494,22
r_n150_p0.5_nA30_nB45_i0,heur_semigreedy2s_v1,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,5,60.2596,100000,6.44311,10703
r_n150_p0.75_nA45_nB45_i2,heur_greedy1s,0,150,8347,45,45,UNKNOWN,unknown,-1,0.00328597,1,-1,18446744073709551615
r_n150_p0.5_nA30_nB45_i1,heur_greedy1s,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,7,0.00436291,1,0.00436291,0
r_n150_p0.5_nA45_nB45_i0,heur_greedy1s,0,150,5548,45,45,UNKNOWN,unknown,-1,0.00241826,1,-1,18446744073709551615
r_n150_p0.75_nA30_nB45_i2,heur_greedy1s,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,10,0.00617805,1,0.00617805,0
r_n150_p0.75_nA45_nB30_i2,heur_greedy1s,0,150,8354,45,30,UNKNOWN,unknown,-1,0.00296815,1,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_greedy1s,0,150,8353,45,30,UNKNOWN,unknown,-1,0.00444085,1,-1,18446744073709551615
r_n150_p0.25_nA45_nB45_i2,heur_greedy1s,0,150,2800,45,45,UNKNOWN,unknown,-1,0.00182789,1,-1,18446744073709551615
r_n150_p0.5_nA45_nB45_i1,heur_greedy1s,0,150,5542,45,45,UNKNOWN,unknown,-1,0.00321909,1,-1,18446744073709551615
r_n150_p0.25_nA45_nB45_i1,heur_greedy1s,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,0.00275812,1,0.00275812,0
r_n150_p0.5_nA30_nB30_i1,heur_greedy1s,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,7,0.00416084,1,0.00416084,0
r_n150_p0.25_nA45_nB45_i0,heur_greedy1s,0,150,2747,45,45,UNKNOWN,unknown,-1,0.00213415,1,-1,18446744073709551615
r_n150_p0.75_nA45_nB45_i1,heur_greedy1s,0,150,8352,45,45,UNKNOWN,unknown,-1,0.00444128,1,-1,18446744073709551615
r_n150_p0.75_nA45_nB45_i0,heur_greedy1s,0,150,8394,45,45,UNKNOWN,unknown,-1,0.00420424,1,-1,18446744073709551615
r_n150_p0.25_nA45_nB30_i1,heur_greedy1s,0,150,2822,45,30,UNKNOWN,unknown,-1,0.00213962,1,-1,18446744073709551615
r_n150_p0.5_nA45_nB30_i0,heur_greedy1s,0,150,5548,45,30,UNKNOWN,unknown,-1,0.00332207,1,-1,18446744073709551615
r_n150_p0.25_nA30_nB30_i0,heur_greedy1s,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,4,0.00259057,1,0.00259057,0
r_n150_p0.75_nA45_nB30_i0,heur_greedy1s,0,150,8394,45,30,UNKNOWN,unknown,-1,0.00408546,1,-1,18446744073709551615
r_n150_p0.25_nA30_nB45_i2,heur_greedy1s,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,0.00243328,1,0.00243328,0
r_n150_p0.5_nA45_nB30_i1,heur_greedy1s,0,150,5541,45,30,UNKNOWN,unknown,-1,0.0026512,1,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i2,heur_greedy1s,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,10,0.00570383,1,0.00570383,0
r_n150_p0.25_nA30_nB45_i0,heur_greedy1s,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,0.00237132,1,0.00237132,0
r_n150_p0.25_nA45_nB30_i0,heur_greedy1s,0,150,2747,45,30,UNKNOWN,unknown,-1,0.00202531,1,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i1,heur_greedy1s,0,150,8408,30,30,UNKNOWN,unknown,-1,0.00523457,1,-1,18446744073709551615
r_n150_p0.25_nA45_nB30_i2,heur_greedy1s,0,150,2794,45,30,UNKNOWN,unknown,-1,0.00193069,1,-1,18446744073709551615
r_n150_p0.75_nA30_nB45_i1,heur_greedy1s,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,10,0.00594391,1,0.00594391,0
r_n150_p0.25_nA30_nB45_i1,heur_greedy1s,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,4,0.00247627,1,0.00247627,0
r_n150_p0.75_nA30_nB45_i0,heur_greedy1s,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,10,0.00618983,1,0.00618983,0
r_n150_p0.5_nA30_nB45_i2,heur_greedy1s,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,0.00441339,1,0.00441339,0
